respondent_id,books_read_1year,print_books,audiobooks,ebooks,smartphone,ebook_reader,tablet,laptop,gender,age,education,is_frequent_reader
100713,3.0,yes,no,no,yes,yes,no,no,,,"Some college, no degree",0
100722,0.0, , , ,yes,no,no,yes,,77.0,Postgraduate or professional degree,0
100723,5.0,yes,yes,yes,yes,yes,yes,yes,,65.0,Postgraduate or professional degree,1
100726,0.0, , , ,yes,no,no,yes,,62.0,Four-year college degree or bachelor's degree,0
100728,0.0, , , ,no,no,no,no,,60.0,Postgraduate or professional degree,0
100734,0.0, , , ,yes,no,yes,yes,,42.0,Postgraduate or professional degree,0
100735,0.0, , , ,yes,no,yes,no,,80.0,"Some college, no degree",0
100736,5.0,yes,no,no,yes,no,no,yes,,63.0,Postgraduate or professional degree,1
100741,5.0,yes,no,yes,yes,no,yes,yes,,46.0,Postgraduate or professional degree,1
100747,0.0, , , ,yes,no,no,yes,,33.0,"Some college, no degree",0
100753,0.0, , , ,no,no,yes,yes,,59.0,Less than high school,0
100754,0.0, , , ,no,no,no,no,,63.0,"Some college, no degree",0
100761,3.0,no,no,yes,yes,no,no,no,,45.0,Two-year associate degree,0
100773,8.0,yes,no,no,yes,no,yes,no,,67.0,Postgraduate or professional degree,1
100774,7.0,yes,no,no,yes,no,no,yes,,75.0,Four-year college degree or bachelor's degree,1
100778,4.0,yes,yes,yes,yes,no,no,yes,,59.0,Unknown,0
100781,10.0,yes,no,no,yes,no,yes,yes,,42.0,Four-year college degree or bachelor's degree,1
100785,0.0, , , ,yes,no,yes,yes,,57.0,Unknown,0
100790,5.0,yes,yes,yes,yes,yes,no,yes,,75.0,Unknown,1
100795,20.0,yes,no,yes,yes,yes,no,no,,59.0,Four-year college degree or bachelor's degree,1
100796,0.0, , , ,yes,no,no,no,,30.0,"Some college, no degree",0
100803,52.0,yes,no,no,yes,no,yes,yes,,,Unknown,1
100813,10.0,yes,no,no,no,no,yes,no,,83.0,Postgraduate or professional degree,1
100828,1.0,no,no,no,yes,no,no,no,,67.0,Unknown,0
100844,10.0,yes,no,no,yes,yes,yes,yes,,73.0,Two-year associate degree,1
100849,1.0,yes,no,no,yes,no,no,no,,37.0,Less than high school,0
100857,6.0,yes,no,no,yes,no,no,yes,,72.0,Four-year college degree or bachelor's degree,1
100862,2.0,yes,no,no,yes,no,no,no,,91.0,"Some college, no degree",0
100867,1.0,no,no,yes,yes,no,yes,yes,,68.0,Postgraduate or professional degree,0
100871,25.0,yes,no,no,yes,yes,yes,yes,,79.0,"Some college, no degree",1
100880,0.0, , , ,yes,no,no,yes,,79.0,Four-year college degree or bachelor's degree,0
100884,6.0,yes,no,no,yes,no,no,yes,,61.0,Unknown,1
100889,24.0,yes,yes,no,yes,no,yes,yes,,36.0,Two-year associate degree,1
100899,50.0,yes,yes,yes,yes,no,yes,yes,,57.0,Unknown,1
100900,0.0, , , ,yes,no,no,no,,78.0,Two-year associate degree,0
100902,0.0, , , ,no,no,no,yes,,58.0,Four-year college degree or bachelor's degree,0
100907,25.0,yes,no,no,yes,yes,no,yes,,65.0,"Some college, no degree",1
100908,5.0,yes,no,no,yes,yes,yes,yes,,44.0,Postgraduate or professional degree,1
100920,40.0,yes,no,yes,yes,yes,no,yes,,74.0,Four-year college degree or bachelor's degree,1
100921,50.0,yes,no,no,yes,no,no,no,,26.0,Four-year college degree or bachelor's degree,1
100927,3.0,yes,no,no,yes,yes,yes,yes,,47.0,Unknown,0
100933,12.0,yes,no,yes,yes,yes,yes,yes,,47.0,Unknown,1
100935,24.0,yes,no,no,no,no,yes,yes,,87.0,Postgraduate or professional degree,1
100937,3.0,yes,no,yes,yes,no,yes,yes,,73.0,Two-year associate degree,0
100940,40.0,yes,yes,yes,yes,no,yes,yes,,58.0,Unknown,1
100953,20.0,yes,no,yes,yes,yes,yes,yes,,64.0,Four-year college degree or bachelor's degree,1
100959,50.0,yes,yes,yes,yes,no,yes,yes,,19.0,"Some college, no degree",1
100963,3.0,yes,no,no,no,no,no,yes,,58.0,Two-year associate degree,0
100966,2.0,yes,no,,yes,no,no,no,,91.0,High school graduate or GED,0
100973,24.0,yes,yes,yes,yes,yes,yes,yes,,57.0,"Some college, no degree",1
100982,0.0, , , ,yes,no,yes,yes,,56.0,Postgraduate or professional degree,0
100991,12.0,yes,no,yes,yes,no,yes,yes,,73.0,Unknown,1
100994,0.0, , , ,yes,no,no,yes,,55.0,Four-year college degree or bachelor's degree,0
100995,30.0,yes,yes,yes,yes,yes,yes,yes,,57.0,Unknown,1
100996,0.0, , , ,yes,no,no,no,,63.0,High school graduate or GED,0
100999,10.0,yes,no,no,no,no,no,no,,70.0,"Some college, no degree",1
101000,50.0,yes,yes,yes,yes,yes,no,yes,,56.0,Unknown,1
101003,3.0,yes,no,yes,yes,yes,yes,yes,,76.0,Unknown,0
101011,3.0,yes,no,no,yes,no,no,no,,84.0,"Some college, no degree",0
101015,10.0,yes,no,no,yes,no,yes,yes,,69.0,Two-year associate degree,1
101024,20.0,no,no,yes,yes,no,yes,yes,,60.0,Postgraduate or professional degree,1
101028,6.0,yes,yes,no,yes,no,yes,yes,,62.0,Unknown,1
101033,0.0, , , ,yes,no,no,yes,,72.0,"Some college, no degree",0
101037,2.0,yes,,no,yes,no,no,yes,,72.0,Four-year college degree or bachelor's degree,0
101041,1.0,yes,no,no,yes,no,no,yes,,75.0,"Some college, no degree",0
101042,5.0,yes,no,no,yes,yes,no,yes,,78.0,Postgraduate or professional degree,1
101046,0.0, , , ,yes,no,yes,yes,,52.0,Postgraduate or professional degree,0
101047,97.0,yes,no,no,yes,no,yes,yes,,,Four-year college degree or bachelor's degree,1
101048,12.0,yes,no,no,no,no,no,yes,,68.0,Postgraduate or professional degree,1
101055,50.0,yes,no,yes,yes,yes,yes,yes,,68.0,Four-year college degree or bachelor's degree,1
101056,11.0,yes,no,yes,yes,yes,yes,yes,,72.0,Four-year college degree or bachelor's degree,1
101058,0.0, , , ,no,no,no,yes,,56.0,"Some college, no degree",0
101060,3.0,yes,no,no,yes,no,yes,yes,,55.0,Unknown,0
101062,2.0,yes,no,no,yes,no,yes,yes,,77.0,Two-year associate degree,0
101065,0.0, , , ,yes,no,yes,yes,,53.0,Postgraduate or professional degree,0
101068,30.0,yes,yes,no,no,no,yes,no,,53.0,"Some college, no degree",1
101071,15.0,yes,yes,yes,yes,no,yes,yes,,58.0,Unknown,1
101081,12.0,no,yes,yes,yes,yes,yes,yes,,69.0,Unknown,1
101082,4.0,yes,no,yes,no,no,no,no,,86.0,Two-year associate degree,0
101083,30.0,yes,no,no,yes,no,no,no,,76.0,Two-year associate degree,1
101099,50.0,yes,yes,yes,yes,yes,yes,yes,,61.0,Four-year college degree or bachelor's degree,1
101103,50.0,yes,no,no,yes,no,no,yes,,73.0,"Some college, no degree",1
101112,20.0,yes,yes,no,yes,no,no,yes,,73.0,Unknown,1
101114,10.0,yes,no,no,yes,yes,yes,yes,,71.0,Postgraduate or professional degree,1
101120,97.0,yes,no,no,yes,no,no,yes,,68.0,Postgraduate or professional degree,1
101125,0.0, , , ,yes,,no,yes,,82.0,"Some college, no degree",0
101135,60.0,yes,no,yes,yes,yes,yes,yes,,30.0,Two-year associate degree,1
101136,0.0, , , ,yes,no,yes,yes,,29.0,"Some college, no degree",0
101140,30.0,yes,no,no,yes,no,yes,yes,,23.0,Two-year associate degree,1
101141,0.0, , , ,no,no,yes,no,,95.0,"Some college, no degree",0
101148,12.0,yes,no,no,no,no,no,no,,74.0,"Some college, no degree",1
101175,6.0,yes,no,no,yes,no,no,no,,78.0,"Some college, no degree",1
101180,6.0,yes,no,no,yes,no,yes,yes,,40.0,Unknown,1
101194,12.0,yes,no,yes,yes,yes,yes,yes,,65.0,Two-year associate degree,1
101202,1.0,yes,yes,yes,yes,yes,no,yes,,51.0,Four-year college degree or bachelor's degree,0
101204,0.0, , , ,yes,no,yes,yes,,87.0,"Some college, no degree",0
101206,25.0,yes,no,yes,yes,yes,yes,yes,,69.0,Postgraduate or professional degree,1
101211,3.0,yes,no,yes,yes,no,yes,yes,,62.0,Four-year college degree or bachelor's degree,0
101212,60.0,yes,no,no,yes,no,no,yes,,61.0,"Some college, no degree",1
101217,2.0,yes,no,no,no,no,yes,no,,16.0,High school graduate or GED,0
101218,0.0, , , ,no,no,no,no,,67.0,Less than high school,0
101224,3.0,yes,no,no,yes,no,no,no,,,"Some college, no degree",0
101227,30.0,yes,no,yes,yes,yes,yes,yes,,52.0,Postgraduate or professional degree,1
101228,15.0,yes,yes,yes,yes,no,yes,yes,,72.0,Unknown,1
101234,97.0,yes,no,no,yes,no,no,yes,,69.0,Two-year associate degree,1
101235,0.0, , , ,yes,no,no,yes,,61.0,Four-year college degree or bachelor's degree,0
101238,0.0, , , ,yes,no,yes,yes,,70.0,"Some college, no degree",0
101246,0.0, , , ,yes,no,no,yes,,57.0,"Some college, no degree",0
101255,2.0,yes,no,no,yes,no,no,yes,,64.0,"Some college, no degree",0
101256,75.0,yes,no,no,yes,no,no,no,,73.0,"Some college, no degree",1
101263,12.0,yes,no,no,yes,no,no,yes,,64.0,Unknown,1
101265,2.0,yes,no,no,yes,no,yes,yes,,60.0,Four-year college degree or bachelor's degree,0
101268,3.0,yes,no,no,yes,no,yes,yes,,,Unknown,0
101275,5.0,yes,no,no,yes,no,yes,yes,,27.0,"Some college, no degree",1
101276,12.0,yes,no,yes,yes,no,yes,yes,,58.0,Two-year associate degree,1
101277,4.0,yes,no,no,yes,no,yes,yes,,67.0,"Some college, no degree",0
101281,20.0,yes,yes,yes,yes,yes,yes,yes,,61.0,Unknown,1
101285,0.0, , , ,yes,no,no,no,,67.0,High school graduate or GED,0
101292,12.0,no,no,yes,yes,yes,yes,yes,,56.0,Unknown,1
101294,0.0, , , ,no,no,no,no,,59.0,"Some college, no degree",0
101295,60.0,yes,no,no,yes,no,no,yes,,80.0,Unknown,1
101302,0.0, , , ,yes,no,yes,yes,,60.0,"Some college, no degree",0
101309,0.0, , , ,yes,yes,yes,yes,,50.0,Postgraduate or professional degree,0
101310,2.0,yes,no,no,yes,no,no,yes,,54.0,Postgraduate or professional degree,0
101311,1.0,no,no,yes,yes,yes,no,yes,,54.0,"Some college, no degree",0
101313,50.0,yes,yes,no,yes,no,no,yes,,83.0,Four-year college degree or bachelor's degree,1
101317,0.0, , , ,yes,no,no,yes,,66.0,Less than high school,0
